impl,points,dims,time
scipy,150,50,0.000522613525390625
scipy,150,50,0.0006284713745117188
scipy,150,50,0.0005779266357421875
scipy,150,50,0.00047850608825683594
cython,150,50,0.0003771781921386719
cython,150,50,0.0003745555877685547
cython,150,50,0.0003008842468261719
cython,150,50,0.00029659271240234375
cython,150,50,0.0002961158752441406
cython_parallel,150,50,0.0007038116455078125
cython_parallel,150,50,0.0006868839263916016
cython_parallel,150,50,0.0007066726684570312
cython_parallel,150,50,0.0006737709045410156
cython_parallel,150,50,0.0007476806640625
python_brute,5000,10,44.078388929367065
python_brute,5000,10,44.28391122817993
python_brute,5000,10,44.64252591133118
python_brute,5000,10,44.23197793960571
python_brute,5000,10,44.16854381561279
python_cached,5000,10,23.43878722190857
python_cached,5000,10,23.94466280937195
python_cached,5000,10,24.47138524055481
python_cached,5000,10,24.376244068145752
python_cached,5000,10,23.7737820148468
numpy_brute,5000,10,130.58517026901245
numpy_brute,5000,10,130.69487500190735
numpy_brute,5000,10,131.77175784111023
numpy_brute,5000,10,131.28335785865784
numpy_brute,5000,10,129.69816303253174
numpy_cached,5000,10,68.35636305809021
numpy_cached,5000,10,68.24556517601013
numpy_cached,5000,10,71.04012751579285
numpy_cached,5000,10,69.40127658843994
numpy_cached,5000,10,70.44268012046814
numpy_broadcast,5000,10,0.8643481731414795
numpy_broadcast,5000,10,0.8446431159973145
numpy_broadcast,5000,10,0.854600191116333
numpy_broadcast,5000,10,0.8548822402954102
numpy_broadcast,5000,10,0.8810694217681885
numpy_double_broadcast,5000,10,0.8620553016662598
numpy_double_broadcast,5000,10,0.8433113098144531
numpy_double_broadcast,5000,10,0.8712708950042725
numpy_double_broadcast,5000,10,0.835442304611206
numpy_double_broadcast,5000,10,0.8573565483093262
scipy,5000,10,0.14436650276184082
scipy,5000,10,0.14290332794189453
scipy,5000,10,0.14376044273376465
scipy,5000,10,0.14380526542663574
scipy,5000,10,0.1486959457397461
cython,5000,10,0.1720106601715088
cython,5000,10,0.1697862148284912
cython,5000,10,0.1731245517730713
cython,5000,10,0.17969965934753418
cython,5000,10,0.18643617630004883
cython_parallel,5000,10,0.32053661346435547
cython_parallel,5000,10,0.3194692134857178
cython_parallel,5000,10,0.33266711235046387
cython_parallel,5000,10,0.3216366767883301
cython_parallel,5000,10,0.3155083656311035
python_brute,40,2,0.001184701919555664
python_brute,40,2,0.0011324882507324219
python_brute,40,2,0.0011897087097167969
python_brute,40,2,0.001382589340209961
python_brute,40,2,0.0011327266693115234
python_cached,40,2,0.000606536865234375
python_cached,40,2,0.0007119178771972656
python_cached,40,2,0.00060272216796875
python_cached,40,2,0.0006706714630126953
python_cached,40,2,0.0006093978881835938
numpy_brute,40,2,0.009055852890014648
numpy_brute,40,2,0.00938272476196289
numpy_brute,40,2,0.008810997009277344
numpy_brute,40,2,0.010740518569946289
numpy_brute,40,2,0.009749650955200195
numpy_cached,40,2,0.005012035369873047
numpy_cached,40,2,0.0066564083099365234
numpy_cached,40,2,0.00577092170715332
numpy_cached,40,2,0.004704713821411133
numpy_cached,40,2,0.005342721939086914
numpy_broadcast,40,2,0.0004515647888183594
numpy_broadcast,40,2,0.00045990943908691406
numpy_broadcast,40,2,0.000370025634765625
numpy_broadcast,40,2,0.0003440380096435547
numpy_broadcast,40,2,0.00039768218994140625
numpy_double_broadcast,40,2,0.00033020973205566406
numpy_double_broadcast,40,2,0.0003211498260498047
numpy_double_broadcast,40,2,0.00036597251892089844
numpy_double_broadcast,40,2,0.00033164024353027344
numpy_double_broadcast,40,2,0.0003418922424316406
scipy,40,2,6.747245788574219e-05
scipy,40,2,2.4557113647460938e-05
scipy,40,2,2.002716064453125e-05
scipy,40,2,1.8835067749023438e-05
scipy,40,2,1.7881393432617188e-05
cython,40,2,3.4809112548828125e-05
cython,40,2,1.049041748046875e-05
cython,40,2,7.152557373046875e-06
cython,40,2,6.198883056640625e-06
cython,40,2,1.8835067749023438e-05
cython_parallel,40,2,9.298324584960938e-06
cython_parallel,40,2,7.867813110351562e-06
cython_parallel,40,2,7.3909759521484375e-06
cython_parallel,40,2,7.3909759521484375e-06
cython_parallel,40,2,7.3909759521484375e-06
python_brute,2000,2,3.3117291927337646
python_brute,2000,2,3.3130784034729004
python_brute,2000,2,3.3276898860931396
python_brute,2000,2,3.3088579177856445
python_brute,2000,2,3.290696859359741
python_cached,2000,2,1.7529704570770264
python_cached,2000,2,1.806107759475708
python_cached,2000,2,1.7845299243927002
python_cached,2000,2,1.7606000900268555
