impl,points,dims,time
numpy_broadcast,12500,2,3.664236307144165
numpy_broadcast,12500,2,3.2723686695098877
numpy_broadcast,12500,2,3.2652790546417236
numpy_broadcast,12500,2,3.2616047859191895
numpy_broadcast,12500,2,3.3168458938598633
numpy_double_broadcast,12500,2,3.309274673461914
numpy_double_broadcast,12500,2,3.258798599243164
numpy_double_broadcast,12500,2,3.288073778152466
numpy_double_broadcast,12500,2,3.27433180809021
numpy_double_broadcast,12500,2,3.272003650665283
scipy,12500,2,0.3406989574432373
scipy,12500,2,0.32891106605529785
scipy,12500,2,0.3349783420562744
scipy,12500,2,0.33519625663757324
scipy,12500,2,0.3276383876800537
cython,12500,2,0.5808041095733643
cython,12500,2,0.5479476451873779
cython,12500,2,0.5434756278991699
cython,12500,2,0.556389331817627
cython,12500,2,0.5442547798156738
numpy_broadcast,15000,50,50.78356099128723
numpy_broadcast,15000,50,23.5960693359375
numpy_broadcast,15000,50,23.453111171722412
numpy_broadcast,15000,50,28.431674242019653
numpy_broadcast,15000,50,23.603497982025146
numpy_double_broadcast,15000,50,23.506605863571167
numpy_double_broadcast,15000,50,23.533576250076294
numpy_double_broadcast,15000,50,23.471479654312134
numpy_double_broadcast,15000,50,23.527021169662476
numpy_double_broadcast,15000,50,23.285844802856445
scipy,15000,50,5.89927864074707
scipy,15000,50,5.853924512863159
scipy,15000,50,5.863972425460815
scipy,15000,50,6.019456386566162
scipy,15000,50,5.86613130569458
cython,15000,50,3.8204286098480225
cython,15000,50,3.8173863887786865
cython,15000,50,3.862180709838867
cython,15000,50,3.841165781021118
cython,15000,50,3.7633206844329834
numpy_broadcast,25000,150,200.01645874977112
numpy_broadcast,25000,150,199.3289155960083
numpy_broadcast,25000,150,199.2651047706604
numpy_broadcast,25000,150,199.031236410141
numpy_broadcast,25000,150,198.9012508392334
numpy_double_broadcast,25000,150,198.08292722702026
numpy_double_broadcast,25000,150,198.15960359573364
numpy_double_broadcast,25000,150,197.84418845176697
numpy_double_broadcast,25000,150,198.3150622844696
numpy_double_broadcast,25000,150,197.8277428150177
